394,-26.237849,27.92755,Orlando Garden Site,City of Johannesburg,Soweto,Transfer Station & recycling,Open 8am -5pm,,http://www.pikitup.co.za/,Motor oil,y,y,n,,y,y,y,,y,n
395,-26.260612,27.852232,Mapetla Garden Site,City of Johannesburg,Soweto,Transfer Station & recycling,Open 8am -5pm,,http://www.pikitup.co.za/,Motor oil,y,y,n,,y,y,y,,y,n
396,-26.278824,27.835863,Protea North Garden Site,City of Johannesburg,Soweto,Transfer Station & recycling,Open 8am -5pm,,http://www.pikitup.co.za/,Motor oil,y,y,n,,y,y,y,,y,n
397,-26.30017,27.885854,Allie Street Garden Site,City of Johannesburg,Johannesburg,Transfer Station & recycling,Open 8am -5pm,,http://www.pikitup.co.za/,Motor oil,y,y,n,,y,y,y,,y,n
398,-26.307003,27.831328,Nirvana Drive Garden Site,City of Johannesburg,Lenasia,Transfer Station & recycling,Open 8am -5pm,,http://www.pikitup.co.za/,Motor oil,y,y,n,,y,y,y,,y,n
399,-26.334835,27.833939,Flamingo Garden Site,City of Johannesburg,Lenasia,Transfer Station & recycling,Open 8am -5pm,,http://www.pikitup.co.za/,Motor oil,y,y,n,,y,y,y,,y,n
400,-26.328694,27.846598,Bangalore Drive Garden Site,City of Johannesburg,Lenasia,Transfer Station & recycling,Open 8am -5pm,,http://www.pikitup.co.za/,Motor oil,y,y,n,,y,y,y,,y,n
401,-26.382458,27.855538,Wimbledon Garden Site,City of Johannesburg,Lenasia South,Transfer Station & recycling,Open 8am -5pm,,http://www.pikitup.co.za/,Motor oil,y,y,n,,y,y,y,,y,n
402,-26.401463,27.83952,Leo Street Garden Site,City of Johannesburg,Ennerdale,Transfer Station & recycling,Open 8am -5pm,,http://www.pikitup.co.za/,Motor oil,y,y,n,,y,y,y,,y,n
403,-26.324821,28.020457,Mayfield Garden Site,City of Johannesburg,City of Johannesburg NU,Transfer Station & recycling,Open 8am -5pm,,http://www.pikitup.co.za/,Motor oil,y,y,n,,y,n,y,,y,y
404,-26.279266,27.984685,Meredale Garden Site,City of Johannesburg,Johannesburg,Transfer Station & recycling,Open 8am -5pm,,http://www.pikitup.co.za/,n,n,n,n,,n,y,,,y,y
405,-26.275863,28.00708,Mondeor Garden Site,City of Johannesburg,Johannesburg,Transfer Station & recycling,Open 8am -5pm,,http://www.pikitup.co.za/,n,y,y,n,,y,n,,,y,y
406,-26.257871,28.015566,Robertsham Garden Site,City of Johannesburg,Johannesburg,Transfer Station & recycling,Open 8am -5pm,,http://www.pikitup.co.za/,n,y,y,n,,y,n,,,y,y
407,-26.252101,28.072459,Eastroad Garden Site,City of Johannesburg,Johannesburg,Transfer Station & recycling,Open 8am -5pm,,http://www.pikitup.co.za/,Motor oil,y,y,n,,y,n,y,,y,y
